

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.010  000.010: --- NVIM STARTING ---
000.974  000.964: locale set
001.615  000.641: inits 1
001.642  000.027: window checked
001.899  000.257: parsing arguments
005.202  003.303: expanding arguments
005.269  000.067: inits 2
005.752  000.482: init highlight
005.754  000.002: waiting for UI
008.567  002.813: done waiting for UI
008.588  000.021: init screen for UI
008.623  000.035: init default mappings
008.671  000.048: init default autocommands
010.067  000.157  000.157: sourcing /usr/local/Cellar/neovim/0.7.0/share/nvim/runtime/ftplugin.vim
010.397  000.099  000.099: sourcing /usr/local/Cellar/neovim/0.7.0/share/nvim/runtime/indent.vim
013.687  002.263  002.263: sourcing /Users/mario/.config/nvim/autoload/plug.vim
028.475  000.096  000.096: sourcing /usr/local/Cellar/neovim/0.7.0/share/nvim/runtime/filetype.lua
036.333  000.027  000.027: sourcing /Users/mario/.vim/bundle/vim-fugitive/ftdetect/fugitive.vim
036.922  000.151  000.151: sourcing /Users/mario/.vim/bundle/vim-ruby/ftdetect/ruby.vim
037.294  000.206  000.206: sourcing /Users/mario/.vim/bundle/vim-ruby/ftdetect/ruby_extra.vim
037.986  009.401  009.017: sourcing /usr/local/Cellar/neovim/0.7.0/share/nvim/runtime/filetype.vim
038.453  000.029  000.029: sourcing /usr/local/Cellar/neovim/0.7.0/share/nvim/runtime/ftplugin.vim
038.864  000.023  000.023: sourcing /usr/local/Cellar/neovim/0.7.0/share/nvim/runtime/indent.vim
039.552  000.116  000.116: sourcing /usr/local/Cellar/neovim/0.7.0/share/nvim/runtime/syntax/synload.vim
039.658  000.653  000.536: sourcing /usr/local/Cellar/neovim/0.7.0/share/nvim/runtime/syntax/syntax.vim
039.686  028.415  015.951: sourcing /Users/mario/.vim/modules/bundles.vim
040.232  000.088  000.088: sourcing /Users/mario/.vim/bundle/deoplete.nvim/autoload/deoplete.vim
040.884  000.154  000.154: sourcing /Users/mario/.vim/bundle/deoplete.nvim/autoload/deoplete/custom.vim
041.462  000.230  000.230: sourcing /Users/mario/.vim/bundle/deoplete.nvim/autoload/deoplete/init.vim
041.686  001.887  001.415: sourcing /Users/mario/.vim/modules/ncompletion.vim
042.159  000.371  000.371: sourcing /Users/mario/.vim/modules/autocmds.vim
